Name,ID,Date,pCO2uncorr,pCO2corr,pCO21sd,d13Ccorr,d13C1sd,invpCO2uncorr,invpCO2corr,F14C,F14Cerr,Type,CO2 (%),O2 (%),,Metas CO2,Metas CH4,Metas CO,Metas CO2s,Metas CH4s,Metas COs
G-O1-CO2-1 Wet ,GF,Dec.21,417,421.587,8.5,-9.24,0.740870359,0.0024,0.00237199,1.0001,0.23,Atmosphere,,,,,,,,,
Fortin Dry 1 ,GF,Dec.21,596,602.556,5,-14.29,0.1,0.0017,0.001659597,0.9723,0.23,Cave,,,,,,,,,
CG-I1-CO2-1 Dry,GR,Dec.21,29752,30079.272,244.9489743,-24.53,0.32097075,0,3.32E-05,0.9114,0.24,Cave,,,,,,,,,
CG-I1-CO2-1 Wet,GR,Dec.21,30025,30355.275,,-25.32,,0,3.29E-05,0.9129,0.24,Cave,,,,,,,,,
SG-O1-CO2-1 Dry,SG-01,Dec.21,432,436.752,183.0871074,-12.68,,0.0023,0.002289629,0.9512,0.24,Soil,,,,,,,,,
SG-O2-CO2-1 Dry,SG-02,Dec.21,1923,1944.153,,-20.38,0.231516738,0.0005,0.000514363,1.0009,0.23,Soil,,,,,,,,,
SG-O3-CO2-1 Dry ,SG-03,Dec.21,6312,6381.432,25.92296279,-26.98,0.22627417,0.0002,0.000156705,1.0057,0.23,Soil,,,,,,,,,
SG-O6-CO2-1 Dry,SG-06,Dec.21,5123,5179.353,20.99735433,-27.2,0.171529071,0.0002,0.000193074,0.9286,0.24,Soil,,,,,,,,,
SG-O5-CO2-1 Dry ,SG-05,Dec.21,11975,12106.725,143.8,-24.97,0,0.0001,8.26E-05,1.0067,0.23,Well,,,,,,,,,
SG-O4-CO2-1 Dry,SG-04,Dec.21,12182,12316.002,,-25.78,,0.0001,8.12E-05,1.0114,0.23,Well,,,,,,,,,
AG-01-CO2-2,AG,Feb.22,423,427.653,,-9.41,,0.0024,0.002338344,1.0001,0.19,Atmosphere,,,,,,,,,
CG-GF-2 wet,GF,Feb.22,821,830.031,,-17.19,,0.0012,0.001204774,0.9828,0.18,Cave,,,,,,,,,
CG-GR-CO2-2,GR,Feb.22,4678,4729.458,,-23.51,,0.0002,0.000211441,0.8945,0.19,Cave,,,,,,,,,
SG-06-CO2-2 dry,SG-06,Feb.22,426,430.686,,-9.92,,0.0023,0.002321877,0.9965,0.18,Soil,,,Contaminated w atmospheric air,,,,,,
SG-03-CO2-2,SG-03,Feb.22,424,428.664,,-9.74,,0.0024,0.002332829,0.9995,0.18,Soil,,,Contaminated w atmospheric air,,,,,,
"SG-04-CO2-2 west, leftern side",,Feb.22,5893,5957.823,4,-24.51,0.4,0.0002,0.000167847,1.0168,0.19,Well,,,,,,,,,
"SG-04-CO2-2 east, rightern side",,Feb.22,3670,3710.37,,-23.95,,0.0003,0.000269515,1.0302,0.18,Well,,,,,,,,,
SG-05-CO2-2 ,,Feb.22,9944,10053.384,8.1,-25.18,0.4,0.0001,9.95E-05,1.0046,0.18,Well,,,,,,,,,
SG-01-CO2-1 dry,,Apr.22,375,379.125,,-9.4,,0.0027,0.002637652,,,Soil,,,Contaminated w atmospheric air,,,,,,
Fortin dry 3,,Apr.22,819,828.009,,-17.48,,0.0012,0.001207716,0.9485,0.17,Cave,,,,,,,,,
